key_id,tournament_id,tournament_name,world_cup_year,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,goal_difference,total_goals,extra_time,penalty_shootout,home_team_score_penalties,away_team_score_penalties,result,result_name,result_label,home_team_win,away_team_win,draw,home_historical_matches,home_historical_wins,home_historical_draws,home_historical_losses,home_historical_goals_for,home_historical_goals_against,home_historical_goal_diff,home_historical_points,home_world_cups_played_before,home_win_rate_before,home_draw_rate_before,home_loss_rate_before,home_avg_goals_for_before,home_avg_goals_against_before,home_points_per_match_before,home_last5_avg_goals_for,home_last5_avg_goals_against,home_last5_win_rate,away_historical_matches,away_historical_wins,away_historical_draws,away_historical_losses,away_historical_goals_for,away_historical_goals_against,away_historical_goal_diff,away_historical_points,away_world_cups_played_before,away_win_rate_before,away_draw_rate_before,away_loss_rate_before,away_avg_goals_for_before,away_avg_goals_against_before,away_points_per_match_before,away_last5_avg_goals_for,away_last5_avg_goals_against,away_last5_win_rate,home_vs_away_h2h_matches_before,home_h2h_wins_before,away_h2h_wins_before,h2h_draws_before
11,WC-1930,1930 FIFA World Cup,1930,M-1930-11,Argentina v Mexico,group stage,Group 1,1,0,0,0,1930-07-19,15:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-44,Mexico,MEX,6,3,3,9,0,0,0,0,home team win,home_win,2,1,0,0,1,1,0,0,1,0,1,3,1,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,2,0,0,2,1,7,-6,0,1,0.0,0.0,1.0,0.5,3.5,0.0,0.5,3.5,0.0,0,0,0,0
12,WC-1930,1930 FIFA World Cup,1930,M-1930-12,Brazil v Bolivia,group stage,Group 2,1,0,0,0,1930-07-20,13:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-09,Brazil,BRA,T-07,Bolivia,BOL,4,0,4,4,0,0,0,0,home team win,home_win,2,1,0,0,1,0,0,1,1,2,-1,0,1,0.0,0.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,1,0,0,1,0,4,-4,0,1,0.0,0.0,1.0,0.0,4.0,0.0,0.0,4.0,0.0,0,0,0,0
13,WC-1930,1930 FIFA World Cup,1930,M-1930-13,Paraguay v Belgium,group stage,Group 4,1,0,0,0,1930-07-20,15:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-53,Paraguay,PRY,T-06,Belgium,BEL,1,0,1,1,0,0,0,0,home team win,home_win,2,1,0,0,1,0,0,1,0,3,-3,0,1,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,1,0,0,1,0,3,-3,0,1,0.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0,0,0,0
14,WC-1930,1930 FIFA World Cup,1930,M-1930-14,Uruguay v Romania,group stage,Group 3,1,0,0,0,1930-07-21,14:50,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-59,Romania,ROU,4,0,4,4,0,0,0,0,home team win,home_win,2,1,0,0,1,1,0,0,1,0,1,3,1,1.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,1,1,0,0,3,1,2,3,1,1.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,0,0,0,0
15,WC-1930,1930 FIFA World Cup,1930,M-1930-15,Argentina v Chile,group stage,Group 1,1,0,0,0,1930-07-22,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-13,Chile,CHL,3,1,2,4,0,0,0,0,home team win,home_win,2,1,0,0,2,2,0,0,7,3,4,6,1,1.0,0.0,0.0,3.5,1.5,3.0,3.5,1.5,1.0,2,2,0,0,4,0,4,6,1,1.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,1.0,0,0,0,0
16,WC-1930,1930 FIFA World Cup,1930,M-1930-16,Argentina v United States,semi-finals,not applicable,0,1,0,0,1930-07-26,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-80,United States,USA,6,1,5,7,0,0,0,0,home team win,home_win,2,1,0,0,3,3,0,0,10,4,6,9,1,1.0,0.0,0.0,3.333333333333333,1.3333333333333333,3.0,3.333333333333333,1.3333333333333333,1.0,2,2,0,0,6,0,6,6,1,1.0,0.0,0.0,3.0,0.0,3.0,3.0,0.0,1.0,0,0,0,0
17,WC-1930,1930 FIFA World Cup,1930,M-1930-17,Uruguay v Yugoslavia,semi-finals,not applicable,0,1,0,0,1930-07-27,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-84,Yugoslavia,YUG,6,1,5,7,0,0,0,0,home team win,home_win,2,1,0,0,2,2,0,0,5,0,5,6,1,1.0,0.0,0.0,2.5,0.0,3.0,2.5,0.0,1.0,2,2,0,0,6,1,5,6,1,1.0,0.0,0.0,3.0,0.5,3.0,3.0,0.5,1.0,0,0,0,0
18,WC-1930,1930 FIFA World Cup,1930,M-1930-18,Uruguay v Argentina,final,not applicable,0,1,0,0,1930-07-30,14:15,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-03,Argentina,ARG,4,2,2,6,0,0,0,0,home team win,home_win,2,1,0,0,3,3,0,0,11,1,10,9,1,1.0,0.0,0.0,3.6666666666666665,0.3333333333333333,3.0,3.6666666666666665,0.3333333333333333,1.0,4,4,0,0,16,5,11,12,1,1.0,0.0,0.0,4.0,1.25,3.0,4.0,1.25,1.0,0,0,0,0
19,WC-1934,1934 FIFA World Cup,1934,M-1934-01,Austria v France,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-081,Stadio Benito Mussolini,Turin,Italy,T-05,Austria,AUT,T-28,France,FRA,3,2,1,5,1,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,2,4,3,1,3,1,0.3333333333333333,0.0,0.6666666666666666,1.3333333333333333,1.0,1.0,1.3333333333333333,1.0,0.3333333333333333,0,0,0,0
20,WC-1934,1934 FIFA World Cup,1934,M-1934-02,Czechoslovakia v Romania,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-080,Stadio Littorio,Trieste,Italy,T-20,Czechoslovakia,CSK,T-59,Romania,ROU,2,1,1,3,0,0,0,0,home team win,home_win,2,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,1,3,5,-2,3,1,0.5,0.0,0.5,1.5,2.5,1.5,1.5,2.5,0.5,0,0,0,0
